BranchesFrom,Vessel,VesselType,VesselSubType,BodyPart,BodySubPart,PortalSystem,FTU,Sex,Anastomoses,ArteryVeinConnects,ArteryVeinPair,ForBranchesSee,VirtualVessel,BranchSequence,SpatialReferenceObjectFemale,SpatialReferenceObjectMale,CoordX,CoordY,ReferenceURL,Reference,ReferenceDOI,VesselTypeID,VesselSubTypeID,BodyPartID,BodySubPartID,FTULabel,FTUID,UBERON,FMA,UBERONLabel,FMALabel,ASLabel,ASID,OtherUberonFmaNameList,TerminologiaAnatomica,OtherVesselNameList,VesselBaseName,FullVesselNameList,HasBranches,VirtualVesselOfList,VirtualVesselOfCount,VirtualInstances,VirtualPath,PathFromHeart,PathFromHeartWithIDs
azygos vein,accessory hemiazygos vein,vein,,spinal cord,,,,,,,,,0,5,,,,,https://en.wikipedia.org/wiki/Accessory_hemiazygos_vein,https://en.wikipedia.org/wiki/Accessory_hemiazygos_vein,,UBERON:0001638,,UBERON:0002240,,,,UBERON:0006665,fma5011,accessory hemiazygos vein,Accessory hemiazygos vein,accessory hemiazygos vein,UBERON:0006665,accessory hemi-azygos vein;superior hemi-azygos vein;vena azygos accessoria;vena hemiazygos accessoria,Accessory hemiazygos vein,,accessory hemiazygos vein,accessory hemi-azygos vein;accessory hemiazygos vein;superior hemi-azygos vein;vena azygos accessoria;vena hemiazygos accessoria,1,,0,1,,right atrium;superior vena cava;azygos vein;accessory hemiazygos vein,right atrium;right cardiac atrium;UBERON:0002078;superior vena cava;anterior vena cava;UBERON:0001585;azygos vein;azygos vein;UBERON:0001594;accessory hemiazygos vein;accessory hemiazygos vein;UBERON:0006665
accessory hemiazygos vein,left bronchial vein,vein,,lung,,,,,,,,,0,999,,,,,https://en.wikipedia.org/wiki/Bronchial_veins,https://en.wikipedia.org/wiki/Bronchial_veins,,UBERON:0001638,,UBERON:0002048,,,,,fma4837,,Left bronchial vein,Left bronchial vein,fma4837,,,,left bronchial vein,left bronchial vein,0,,0,1,,right atrium;superior vena cava;azygos vein;accessory hemiazygos vein;left bronchial vein,right atrium;right cardiac atrium;UBERON:0002078;superior vena cava;anterior vena cava;UBERON:0001585;azygos vein;azygos vein;UBERON:0001594;accessory hemiazygos vein;accessory hemiazygos vein;UBERON:0006665;left bronchial vein;Left bronchial vein;fma4837
accessory hemiazygos vein,left posterior intercostal vein 4,vein,,thoracic wall,,,,,,,left posterior intercostal artery 4,posterior intercostal vein,0,1,,,,,https://en.wikipedia.org/wiki/Accessory_hemiazygos_vein,https://en.wikipedia.org/wiki/Accessory_hemiazygos_vein,,UBERON:0001638,,UBERON:0016403,,,,,fma5004,,Left fourth posterior intercostal vein,Left fourth posterior intercostal vein,fma5004,,,,left posterior intercostal vein 4,Left fourth posterior intercostal vein;left posterior intercostal vein 4,1,,0,1,,right atrium;superior vena cava;azygos vein;accessory hemiazygos vein;left posterior intercostal vein 4,right atrium;right cardiac atrium;UBERON:0002078;superior vena cava;anterior vena cava;UBERON:0001585;azygos vein;azygos vein;UBERON:0001594;accessory hemiazygos vein;accessory hemiazygos vein;UBERON:0006665;left posterior intercostal vein 4;Left fourth posterior intercostal vein;fma5004
accessory hemiazygos vein,left posterior intercostal vein 5,vein,,thoracic wall,,,,,,,left posterior intercostal artery 5,posterior intercostal vein,0,2,,,,,https://en.wikipedia.org/wiki/Accessory_hemiazygos_vein,https://en.wikipedia.org/wiki/Accessory_hemiazygos_vein,,UBERON:0001638,,UBERON:0016403,,,,,fma4997,,Left fifth posterior intercostal vein,Left fifth posterior intercostal vein,fma4997,,,,left posterior intercostal vein 5,Left fifth posterior intercostal vein;left posterior intercostal vein 5,1,,0,1,,right atrium;superior vena cava;azygos vein;accessory hemiazygos vein;left posterior intercostal vein 5,right atrium;right cardiac atrium;UBERON:0002078;superior vena cava;anterior vena cava;UBERON:0001585;azygos vein;azygos vein;UBERON:0001594;accessory hemiazygos vein;accessory hemiazygos vein;UBERON:0006665;left posterior intercostal vein 5;Left fifth posterior intercostal vein;fma4997
accessory hemiazygos vein,left posterior intercostal vein 6,vein,,thoracic wall,,,,,,,left posterior intercostal artery 6,posterior intercostal vein,0,3,,,,,https://en.wikipedia.org/wiki/Accessory_hemiazygos_vein,https://en.wikipedia.org/wiki/Accessory_hemiazygos_vein,,UBERON:0001638,,UBERON:0016403,,,,,fma4990,,Left sixth posterior intercostal vein,Left sixth posterior intercostal vein,fma4990,,,,left posterior intercostal vein 6,left posterior intercostal vein 6;Left sixth posterior intercostal vein,1,,0,1,,right atrium;superior vena cava;azygos vein;accessory hemiazygos vein;left posterior intercostal vein 6,right atrium;right cardiac atrium;UBERON:0002078;superior vena cava;anterior vena cava;UBERON:0001585;azygos vein;azygos vein;UBERON:0001594;accessory hemiazygos vein;accessory hemiazygos vein;UBERON:0006665;left posterior intercostal vein 6;Left sixth posterior intercostal vein;fma4990
accessory hemiazygos vein,left posterior intercostal vein 7,vein,,thoracic wall,,,,,,,left posterior intercostal artery 7,posterior intercostal vein,0,4,,,,,https://en.wikipedia.org/wiki/Accessory_hemiazygos_vein,https://en.wikipedia.org/wiki/Accessory_hemiazygos_vein,,UBERON:0001638,,UBERON:0016403,,,,,fma4983,,Left seventh posterior intercostal vein,Left seventh posterior intercostal vein,fma4983,,,,left posterior intercostal vein 7,left posterior intercostal vein 7;Left seventh posterior intercostal vein,1,,0,1,,right atrium;superior vena cava;azygos vein;accessory hemiazygos vein;left posterior intercostal vein 7,right atrium;right cardiac atrium;UBERON:0002078;superior vena cava;anterior vena cava;UBERON:0001585;azygos vein;azygos vein;UBERON:0001594;accessory hemiazygos vein;accessory hemiazygos vein;UBERON:0006665;left posterior intercostal vein 7;Left seventh posterior intercostal vein;fma4983
accessory hemiazygos vein,left posterior intercostal vein 8,vein,,thoracic wall,,,,,,,left posterior intercostal artery 8,posterior intercostal vein,0,5,,,,,https://en.wikipedia.org/wiki/Accessory_hemiazygos_vein,https://en.wikipedia.org/wiki/Accessory_hemiazygos_vein,,UBERON:0001638,,UBERON:0016403,,,,,fma4976,,Left eighth posterior intercostal vein,Left eighth posterior intercostal vein,fma4976,,,,left posterior intercostal vein 8,Left eighth posterior intercostal vein;left posterior intercostal vein 8,1,,0,1,,right atrium;superior vena cava;azygos vein;accessory hemiazygos vein;left posterior intercostal vein 8,right atrium;right cardiac atrium;UBERON:0002078;superior vena cava;anterior vena cava;UBERON:0001585;azygos vein;azygos vein;UBERON:0001594;accessory hemiazygos vein;accessory hemiazygos vein;UBERON:0006665;left posterior intercostal vein 8;Left eighth posterior intercostal vein;fma4976
azygos vein,esophageal vein,vein,,esophagus,,,,,,,esophageal artery,,0,999,,,,,https://en.wikipedia.org/wiki/Esophageal_veins,https://en.wikipedia.org/wiki/Esophageal_veins,,UBERON:0001638,,UBERON:0001043,,,,,fma4748,,Esophageal vein,Esophageal vein,fma4748,Oesophageal vein,,,esophageal vein,esophageal vein;Oesophageal vein,0,,0,1,,right atrium;superior vena cava;azygos vein;esophageal vein,right atrium;right cardiac atrium;UBERON:0002078;superior vena cava;anterior vena cava;UBERON:0001585;azygos vein;azygos vein;UBERON:0001594;esophageal vein;Esophageal vein;fma4748
azygos vein,hemiazygos vein,vein,,spinal cord,,,,,,,,,0,7,,,,,https://en.wikipedia.org/wiki/Hemiazygos_vein,https://en.wikipedia.org/wiki/Hemiazygos_vein,,UBERON:0001638,,UBERON:0002240,,,,UBERON:0006663,fma4944,hemiazygos vein,Hemiazygos vein,hemiazygos vein,UBERON:0006663,hemi-azygos vein;hemiazygous vein;inferior hemi-azygos vein;vena hemiazygos,Hemiazygos vein,,hemiazygos vein,hemi-azygos vein;hemiazygos vein;hemiazygous vein;inferior hemi-azygos vein;vena hemiazygos,1,,0,1,,right atrium;superior vena cava;azygos vein;hemiazygos vein,right atrium;right cardiac atrium;UBERON:0002078;superior vena cava;anterior vena cava;UBERON:0001585;azygos vein;azygos vein;UBERON:0001594;hemiazygos vein;hemiazygos vein;UBERON:0006663
hemiazygos vein,left posterior intercostal vein 10,vein,,thoracic wall,,,,,,,left posterior intercostal artery 10,posterior intercostal vein,0,2,,,,,https://en.wikipedia.org/wiki/Hemiazygos_vein,https://en.wikipedia.org/wiki/Hemiazygos_vein,,UBERON:0001638,,UBERON:0016403,,,,,fma4962,,Left tenth posterior intercostal vein,Left tenth posterior intercostal vein,fma4962,,,,left posterior intercostal vein 10,left posterior intercostal vein 10;Left tenth posterior intercostal vein,1,,0,1,,right atrium;superior vena cava;azygos vein;hemiazygos vein;left posterior intercostal vein 10,right atrium;right cardiac atrium;UBERON:0002078;superior vena cava;anterior vena cava;UBERON:0001585;azygos vein;azygos vein;UBERON:0001594;hemiazygos vein;hemiazygos vein;UBERON:0006663;left posterior intercostal vein 10;Left tenth posterior intercostal vein;fma4962
hemiazygos vein,left posterior intercostal vein 11,vein,,thoracic wall,,,,,,,left posterior intercostal artery 11,posterior intercostal vein,0,3,,,,,https://en.wikipedia.org/wiki/Hemiazygos_vein,https://en.wikipedia.org/wiki/Hemiazygos_vein,,UBERON:0001638,,UBERON:0016403,,,,,fma4949,,Left eleventh posterior intercostal vein,Left eleventh posterior intercostal vein,fma4949,,,,left posterior intercostal vein 11,Left eleventh posterior intercostal vein;left posterior intercostal vein 11,1,,0,1,,right atrium;superior vena cava;azygos vein;hemiazygos vein;left posterior intercostal vein 11,right atrium;right cardiac atrium;UBERON:0002078;superior vena cava;anterior vena cava;UBERON:0001585;azygos vein;azygos vein;UBERON:0001594;hemiazygos vein;hemiazygos vein;UBERON:0006663;left posterior intercostal vein 11;Left eleventh posterior intercostal vein;fma4949
hemiazygos vein,left posterior intercostal vein 9,vein,,thoracic wall,,,,,,,left posterior intercostal artery 9,posterior intercostal vein,0,1,,,,,https://en.wikipedia.org/wiki/Hemiazygos_vein,https://en.wikipedia.org/wiki/Hemiazygos_vein,,UBERON:0001638,,UBERON:0016403,,,,,fma4969,,Left ninth posterior intercostal vein,Left ninth posterior intercostal vein,fma4969,,,,left posterior intercostal vein 9,Left ninth posterior intercostal vein;left posterior intercostal vein 9,1,,0,1,,right atrium;superior vena cava;azygos vein;hemiazygos vein;left posterior intercostal vein 9,right atrium;right cardiac atrium;UBERON:0002078;superior vena cava;anterior vena cava;UBERON:0001585;azygos vein;azygos vein;UBERON:0001594;hemiazygos vein;hemiazygos vein;UBERON:0006663;left posterior intercostal vein 9;Left ninth posterior intercostal vein;fma4969
hemiazygos vein,left subcostal vein,vein,,thoracic wall,,,,,,,left subcostal artery,,0,4,,,,,https://en.wikipedia.org/wiki/Hemiazygos_vein,https://en.wikipedia.org/wiki/Hemiazygos_vein,,UBERON:0001638,,UBERON:0016403,,,,UBERON:0035252,fma4951,left subcostal vein,Left subcostal vein,left subcostal vein,UBERON:0035252,vena subcostalis sinistra,Left subcostal vein,,left subcostal vein,left subcostal vein;vena subcostalis sinistra,0,,0,1,,right atrium;superior vena cava;azygos vein;hemiazygos vein;left subcostal vein,right atrium;right cardiac atrium;UBERON:0002078;superior vena cava;anterior vena cava;UBERON:0001585;azygos vein;azygos vein;UBERON:0001594;hemiazygos vein;hemiazygos vein;UBERON:0006663;left subcostal vein;left subcostal vein;UBERON:0035252
azygos vein,posterior intercostal vein,vein,,thoracic wall,,,,,,,posterior intercostal artery,,1,999,,,,,https://en.wikipedia.org/wiki/Posterior_intercostal_veins,https://en.wikipedia.org/wiki/Posterior_intercostal_veins,,UBERON:0001638,,UBERON:0016403,,,,UBERON:0012199,fma4858,posterior intercostal vein,Posterior intercostal vein,posterior intercostal vein,UBERON:0012199,venae intercostalis posterior,,,posterior intercostal vein,posterior intercostal vein;venae intercostalis posterior,1,left posterior intercostal vein 10;left posterior intercostal vein 11;left posterior intercostal vein 2;left posterior intercostal vein 3;left posterior intercostal vein 4;left posterior intercostal vein 5;left posterior intercostal vein 6;left posterior intercostal vein 7;left posterior intercostal vein 8;left posterior intercostal vein 9;right posterior intercostal vein 10;right posterior intercostal vein 11;right posterior intercostal vein 2;right posterior intercostal vein 3;right posterior intercostal vein 4;right posterior intercostal vein 5;right posterior intercostal vein 6;right posterior intercostal vein 7;right posterior intercostal vein 8;right posterior intercostal vein 9,20,20,left posterior intercostal vein 10;left posterior intercostal vein 11;left posterior intercostal vein 2;left posterior intercostal vein 3;left posterior intercostal vein 4;left posterior intercostal vein 5;left posterior intercostal vein 6;left posterior intercostal vein 7;left posterior intercostal vein 8;left posterior intercostal vein 9;right posterior intercostal vein 10;right posterior intercostal vein 11;right posterior intercostal vein 2;right posterior intercostal vein 3;right posterior intercostal vein 4;right posterior intercostal vein 5;right posterior intercostal vein 6;right posterior intercostal vein 7;right posterior intercostal vein 8;right posterior intercostal vein 9,right atrium;superior vena cava;azygos vein;posterior intercostal vein,right atrium;right cardiac atrium;UBERON:0002078;superior vena cava;anterior vena cava;UBERON:0001585;azygos vein;azygos vein;UBERON:0001594;posterior intercostal vein;posterior intercostal vein;UBERON:0012199
posterior intercostal vein,anterior external vertebral venous plexus #2,vein,,spinal cord,,,,,,,,,0,999,,,,,https://www.researchgate.net/publication/302476739_Vascular_Diseases_of_the_Spinal_Cord_Infarction_Hemorrhage_and_Venous_Congestive_Myelopathy,"Vuong, Shawn & Jeong, William & Morales, Humberto & Abruzzo, Todd. (2016). Vascular Diseases of the Spinal Cord: Infarction, Hemorrhage and Venous Congestive Myelopathy. Seminars in Ultrasound, CT and MRI. 37.",10.1053/j.sult.2016.05.008,UBERON:0001638,,UBERON:0002240,,,,,fma10787,,Anterior external vertebral venous plexus,Anterior external vertebral venous plexus,fma10787,,Anterior external vertebral venous plexus,,anterior external vertebral venous plexus,anterior external vertebral venous plexus,0,,0,20,left posterior intercostal vein 10;left posterior intercostal vein 11;left posterior intercostal vein 2;left posterior intercostal vein 3;left posterior intercostal vein 4;left posterior intercostal vein 5;left posterior intercostal vein 6;left posterior intercostal vein 7;left posterior intercostal vein 8;left posterior intercostal vein 9;right posterior intercostal vein 10;right posterior intercostal vein 11;right posterior intercostal vein 2;right posterior intercostal vein 3;right posterior intercostal vein 4;right posterior intercostal vein 5;right posterior intercostal vein 6;right posterior intercostal vein 7;right posterior intercostal vein 8;right posterior intercostal vein 9,right atrium;superior vena cava;azygos vein;posterior intercostal vein;anterior external vertebral venous plexus #2,right atrium;right cardiac atrium;UBERON:0002078;superior vena cava;anterior vena cava;UBERON:0001585;azygos vein;azygos vein;UBERON:0001594;posterior intercostal vein;posterior intercostal vein;UBERON:0012199;anterior external vertebral venous plexus #2;Anterior external vertebral venous plexus;fma10787
posterior intercostal vein,intervertebral vein #2,vein,,spinal cord,,,,,,,,,0,999,,,,,https://www.kenhub.com/en/library/anatomy/veins-of-the-vertebral-column,https://www.kenhub.com/en/library/anatomy/veins-of-the-vertebral-column,,UBERON:0001638,,UBERON:0002240,,,,,fma76736,,Intervertebral vein,Intervertebral vein,fma76736,,Intervertebral veins,,intervertebral vein,intervertebral vein;Intervertebral veins,1,,0,20,left posterior intercostal vein 10;left posterior intercostal vein 11;left posterior intercostal vein 2;left posterior intercostal vein 3;left posterior intercostal vein 4;left posterior intercostal vein 5;left posterior intercostal vein 6;left posterior intercostal vein 7;left posterior intercostal vein 8;left posterior intercostal vein 9;right posterior intercostal vein 10;right posterior intercostal vein 11;right posterior intercostal vein 2;right posterior intercostal vein 3;right posterior intercostal vein 4;right posterior intercostal vein 5;right posterior intercostal vein 6;right posterior intercostal vein 7;right posterior intercostal vein 8;right posterior intercostal vein 9,right atrium;superior vena cava;azygos vein;posterior intercostal vein;intervertebral vein #2,right atrium;right cardiac atrium;UBERON:0002078;superior vena cava;anterior vena cava;UBERON:0001585;azygos vein;azygos vein;UBERON:0001594;posterior intercostal vein;posterior intercostal vein;UBERON:0012199;intervertebral vein #2;Intervertebral vein;fma76736
posterior intercostal vein,posterior external vertebral venous plexus #2,vein,,spinal cord,,,,,,,,,0,999,,,,,https://www.researchgate.net/publication/302476739_Vascular_Diseases_of_the_Spinal_Cord_Infarction_Hemorrhage_and_Venous_Congestive_Myelopathy,"Vuong, Shawn & Jeong, William & Morales, Humberto & Abruzzo, Todd. (2016). Vascular Diseases of the Spinal Cord: Infarction, Hemorrhage and Venous Congestive Myelopathy. Seminars in Ultrasound, CT and MRI. 37.",10.1053/j.sult.2016.05.008,UBERON:0001638,,UBERON:0002240,,,,,fma12852,,Posterior external vertebral venous plexus,Posterior external vertebral venous plexus,fma12852,,Posterior external vertebral venous plexus,,posterior external vertebral venous plexus,posterior external vertebral venous plexus,0,,0,20,left posterior intercostal vein 10;left posterior intercostal vein 11;left posterior intercostal vein 2;left posterior intercostal vein 3;left posterior intercostal vein 4;left posterior intercostal vein 5;left posterior intercostal vein 6;left posterior intercostal vein 7;left posterior intercostal vein 8;left posterior intercostal vein 9;right posterior intercostal vein 10;right posterior intercostal vein 11;right posterior intercostal vein 2;right posterior intercostal vein 3;right posterior intercostal vein 4;right posterior intercostal vein 5;right posterior intercostal vein 6;right posterior intercostal vein 7;right posterior intercostal vein 8;right posterior intercostal vein 9,right atrium;superior vena cava;azygos vein;posterior intercostal vein;posterior external vertebral venous plexus #2,right atrium;right cardiac atrium;UBERON:0002078;superior vena cava;anterior vena cava;UBERON:0001585;azygos vein;azygos vein;UBERON:0001594;posterior intercostal vein;posterior intercostal vein;UBERON:0012199;posterior external vertebral venous plexus #2;Posterior external vertebral venous plexus;fma12852
azygos vein,right bronchial vein,vein,,lung,,,,,,,right bronchial artery,,0,999,,,,,https://en.wikipedia.org/wiki/Bronchial_veins,https://en.wikipedia.org/wiki/Bronchial_veins,,UBERON:0001638,,UBERON:0002048,,,,,fma4942,,Right bronchial vein,Right bronchial vein,fma4942,,,,right bronchial vein,right bronchial vein,0,,0,1,,right atrium;superior vena cava;azygos vein;right bronchial vein,right atrium;right cardiac atrium;UBERON:0002078;superior vena cava;anterior vena cava;UBERON:0001585;azygos vein;azygos vein;UBERON:0001594;right bronchial vein;Right bronchial vein;fma4942
azygos vein,right posterior intercostal vein 10,vein,,thoracic wall,,,,,,,right posterior intercostal artery 10,posterior intercostal vein,0,9,,,,,https://en.wikipedia.org/wiki/Posterior_intercostal_veins,https://en.wikipedia.org/wiki/Posterior_intercostal_veins,,UBERON:0001638,,UBERON:0016403,,,,,fma4860,,Right tenth posterior intercostal vein,Right tenth posterior intercostal vein,fma4860,,,,right posterior intercostal vein 10,right posterior intercostal vein 10;Right tenth posterior intercostal vein,1,,0,1,,right atrium;superior vena cava;azygos vein;right posterior intercostal vein 10,right atrium;right cardiac atrium;UBERON:0002078;superior vena cava;anterior vena cava;UBERON:0001585;azygos vein;azygos vein;UBERON:0001594;right posterior intercostal vein 10;Right tenth posterior intercostal vein;fma4860
azygos vein,right posterior intercostal vein 11,vein,,thoracic wall,,,,,,,right posterior intercostal artery 11,posterior intercostal vein,0,10,,,,,https://en.wikipedia.org/wiki/Posterior_intercostal_veins,https://en.wikipedia.org/wiki/Posterior_intercostal_veins,,UBERON:0001638,,UBERON:0016403,,,,,fma4859,,Right eleventh posterior intercostal vein,Right eleventh posterior intercostal vein,fma4859,,,,right posterior intercostal vein 11,Right eleventh posterior intercostal vein;right posterior intercostal vein 11,1,,0,1,,right atrium;superior vena cava;azygos vein;right posterior intercostal vein 11,right atrium;right cardiac atrium;UBERON:0002078;superior vena cava;anterior vena cava;UBERON:0001585;azygos vein;azygos vein;UBERON:0001594;right posterior intercostal vein 11;Right eleventh posterior intercostal vein;fma4859
azygos vein,right posterior intercostal vein 5,vein,,thoracic wall,,,,,,,right posterior intercostal artery 5,posterior intercostal vein,0,2,,,,,https://en.wikipedia.org/wiki/Posterior_intercostal_veins,https://en.wikipedia.org/wiki/Posterior_intercostal_veins,,UBERON:0001638,,UBERON:0016403,,,,,fma4876,,Right fifth posterior intercostal vein,Right fifth posterior intercostal vein,fma4876,,,,right posterior intercostal vein 5,Right fifth posterior intercostal vein;right posterior intercostal vein 5,1,,0,1,,right atrium;superior vena cava;azygos vein;right posterior intercostal vein 5,right atrium;right cardiac atrium;UBERON:0002078;superior vena cava;anterior vena cava;UBERON:0001585;azygos vein;azygos vein;UBERON:0001594;right posterior intercostal vein 5;Right fifth posterior intercostal vein;fma4876
azygos vein,right posterior intercostal vein 6,vein,,thoracic wall,,,,,,,right posterior intercostal artery 6,posterior intercostal vein,0,3,,,,,https://en.wikipedia.org/wiki/Posterior_intercostal_veins,https://en.wikipedia.org/wiki/Posterior_intercostal_veins,,UBERON:0001638,,UBERON:0016403,,,,,fma4875,,Right sixth posterior intercostal vein,Right sixth posterior intercostal vein,fma4875,,,,right posterior intercostal vein 6,right posterior intercostal vein 6;Right sixth posterior intercostal vein,1,,0,1,,right atrium;superior vena cava;azygos vein;right posterior intercostal vein 6,right atrium;right cardiac atrium;UBERON:0002078;superior vena cava;anterior vena cava;UBERON:0001585;azygos vein;azygos vein;UBERON:0001594;right posterior intercostal vein 6;Right sixth posterior intercostal vein;fma4875
azygos vein,right posterior intercostal vein 7,vein,,thoracic wall,,,,,,,right posterior intercostal artery 7,posterior intercostal vein,0,4,,,,,https://en.wikipedia.org/wiki/Posterior_intercostal_veins,https://en.wikipedia.org/wiki/Posterior_intercostal_veins,,UBERON:0001638,,UBERON:0016403,,,,,fma4874,,Right seventh posterior intercostal vein,Right seventh posterior intercostal vein,fma4874,,,,right posterior intercostal vein 7,right posterior intercostal vein 7;Right seventh posterior intercostal vein,1,,0,1,,right atrium;superior vena cava;azygos vein;right posterior intercostal vein 7,right atrium;right cardiac atrium;UBERON:0002078;superior vena cava;anterior vena cava;UBERON:0001585;azygos vein;azygos vein;UBERON:0001594;right posterior intercostal vein 7;Right seventh posterior intercostal vein;fma4874
azygos vein,right posterior intercostal vein 8,vein,,thoracic wall,,,,,,,right posterior intercostal artery 8,posterior intercostal vein,0,6,,,,,https://en.wikipedia.org/wiki/Posterior_intercostal_veins,https://en.wikipedia.org/wiki/Posterior_intercostal_veins,,UBERON:0001638,,UBERON:0016403,,,,,fma4873,,Right eighth posterior intercostal vein,Right eighth posterior intercostal vein,fma4873,,,,right posterior intercostal vein 8,Right eighth posterior intercostal vein;right posterior intercostal vein 8,1,,0,1,,right atrium;superior vena cava;azygos vein;right posterior intercostal vein 8,right atrium;right cardiac atrium;UBERON:0002078;superior vena cava;anterior vena cava;UBERON:0001585;azygos vein;azygos vein;UBERON:0001594;right posterior intercostal vein 8;Right eighth posterior intercostal vein;fma4873
azygos vein,right posterior intercostal vein 9,vein,,thoracic wall,,,,,,,right posterior intercostal artery 9,posterior intercostal vein,0,8,,,,,https://en.wikipedia.org/wiki/Posterior_intercostal_veins,https://en.wikipedia.org/wiki/Posterior_intercostal_veins,,UBERON:0001638,,UBERON:0016403,,,,,fma4872,,Right ninth posterior intercostal vein,Right ninth posterior intercostal vein,fma4872,,,,right posterior intercostal vein 9,Right ninth posterior intercostal vein;right posterior intercostal vein 9,1,,0,1,,right atrium;superior vena cava;azygos vein;right posterior intercostal vein 9,right atrium;right cardiac atrium;UBERON:0002078;superior vena cava;anterior vena cava;UBERON:0001585;azygos vein;azygos vein;UBERON:0001594;right posterior intercostal vein 9;Right ninth posterior intercostal vein;fma4872
azygos vein,right subcostal vein,vein,,thoracic wall,,,,,,,right subcostal artery,,0,11,,,,,https://www.ncbi.nlm.nih.gov/books/NBK554430/,"Donohue JR, Daly DT. Anatomy, Thorax, Azygos Veins. [Updated 2020 Jul 31]. In: StatPearls [Internet]. Treasure Island (FL): StatPearls Publishing; 2020 Jan-. Available from: https://www.ncbi.nlm.nih.gov/books/NBK554430/",,UBERON:0001638,,UBERON:0016403,,,,UBERON:0035474,fma4844,right subcostal vein,Right subcostal vein,right subcostal vein,UBERON:0035474,vena subcostalis dextra,Right subcostal vein,,right subcostal vein,right subcostal vein;vena subcostalis dextra,0,,0,1,,right atrium;superior vena cava;azygos vein;right subcostal vein,right atrium;right cardiac atrium;UBERON:0002078;superior vena cava;anterior vena cava;UBERON:0001585;azygos vein;azygos vein;UBERON:0001594;right subcostal vein;right subcostal vein;UBERON:0035474
azygos vein,right superior intercostal vein,vein,,thoracic wall,,,,,,,,superior intercostal vein,0,1,,,,,https://en.wikipedia.org/wiki/Superior_intercostal_vein,https://en.wikipedia.org/wiki/Superior_intercostal_vein,,UBERON:0001638,,UBERON:0016403,,,,UBERON:0012196,fma4877,right superior intercostal vein,Right superior intercostal vein,right superior intercostal vein,UBERON:0012196,,Right superior intercostal vein,,right superior intercostal vein,right superior intercostal vein,1,,0,1,,right atrium;superior vena cava;azygos vein;right superior intercostal vein,right atrium;right cardiac atrium;UBERON:0002078;superior vena cava;anterior vena cava;UBERON:0001585;azygos vein;azygos vein;UBERON:0001594;right superior intercostal vein;right superior intercostal vein;UBERON:0012196
right superior intercostal vein,right posterior intercostal vein 2,vein,,thoracic wall,,,,,,,,posterior intercostal vein,0,1,,,,,https://en.wikipedia.org/wiki/Posterior_intercostal_veins,https://en.wikipedia.org/wiki/Posterior_intercostal_veins,,UBERON:0001638,,UBERON:0016403,,,,,fma4880,,Right second posterior intercostal vein,Right second posterior intercostal vein,fma4880,,,,right posterior intercostal vein 2,right posterior intercostal vein 2;Right second posterior intercostal vein,1,,0,1,,right atrium;superior vena cava;azygos vein;right superior intercostal vein;right posterior intercostal vein 2,right atrium;right cardiac atrium;UBERON:0002078;superior vena cava;anterior vena cava;UBERON:0001585;azygos vein;azygos vein;UBERON:0001594;right superior intercostal vein;right superior intercostal vein;UBERON:0012196;right posterior intercostal vein 2;Right second posterior intercostal vein;fma4880
right superior intercostal vein,right posterior intercostal vein 3,vein,,thoracic wall,,,,,,,right posterior intercostal artery 3,posterior intercostal vein,0,2,,,,,https://en.wikipedia.org/wiki/Posterior_intercostal_veins,https://en.wikipedia.org/wiki/Posterior_intercostal_veins,,UBERON:0001638,,UBERON:0016403,,,,,fma4879,,Right third posterior intercostal vein,Right third posterior intercostal vein,fma4879,,,,right posterior intercostal vein 3,right posterior intercostal vein 3;Right third posterior intercostal vein,1,,0,1,,right atrium;superior vena cava;azygos vein;right superior intercostal vein;right posterior intercostal vein 3,right atrium;right cardiac atrium;UBERON:0002078;superior vena cava;anterior vena cava;UBERON:0001585;azygos vein;azygos vein;UBERON:0001594;right superior intercostal vein;right superior intercostal vein;UBERON:0012196;right posterior intercostal vein 3;Right third posterior intercostal vein;fma4879
right superior intercostal vein,right posterior intercostal vein 4,vein,,thoracic wall,,,,,,,right posterior intercostal artery 4,posterior intercostal vein,0,3,,,,,https://en.wikipedia.org/wiki/Superior_intercostal_vein,https://en.wikipedia.org/wiki/Superior_intercostal_vein,,UBERON:0001638,,UBERON:0016403,,,,,fma4878,,Right fourth posterior intercostal vein,Right fourth posterior intercostal vein,fma4878,,,,right posterior intercostal vein 4,Right fourth posterior intercostal vein;right posterior intercostal vein 4,1,,0,1,,right atrium;superior vena cava;azygos vein;right superior intercostal vein;right posterior intercostal vein 4,right atrium;right cardiac atrium;UBERON:0002078;superior vena cava;anterior vena cava;UBERON:0001585;azygos vein;azygos vein;UBERON:0001594;right superior intercostal vein;right superior intercostal vein;UBERON:0012196;right posterior intercostal vein 4;Right fourth posterior intercostal vein;fma4878
